year,mean,median
1995,462.91,462.91
1996,343.1975738,134.88084
1997,263.2093875,107.395725
1998,547.1983748,211.25
1999,1557.001894,324.62229
2000,1369.969667,863.46456
2001,536.34557,330.66235
2002,277.113704,280.68756
2003,520.6621771,455.79672
2004,2417.711749,237.862985
2005,754.6544467,482.625
2006,2611.559231,370.142205
2007,1631.532108,412.11043
2008,4221.76211,1086.371
2009,1028.030285,821.42265
2010,3295.653132,542.918805
2011,2376.662577,846.765965
2012,4493.240206,882.51865
2013,1745.646389,870.62472
2014,1117.829311,808.4007
2015,1958.983532,577.98635
